tokens,segmenter_one,segmenter_two,segmenter_three
abayakhuthazelayo,aba-khuthazel-a-yo,aba-khuthazel-a-yo,aba-khuthazel-a-yo
abayakweletayo,aba-kwelet-a-yo,aba-kwelet-a-yo,aba-kwelet-a-yo
abayalalayo,aba-lal-a-yo,aba-lal-a-yo,aba-lal-a-yo
abayalalelayo,aba-lalel-a-yo,aba-lalel-a-yo,aba-lalel-a-yo
abayalambayo,aba-lamb-a-yo,aba-lamb-a-yo,aba-lamb-a-yo
abayalamulayo,aba-lamul-a-yo,aba-lamul-a-yo,aba-lamul-a-yo
abayalandelayo,aba-landel-a-yo,aba-landel-a-yo,aba-landel-a-yo
abayalilayo,aba-lil-a-yo,aba-lil-a-yo,aba-lil-a-yo
abayalumayo,aba-lum-a-yo,aba-lum-a-yo,aba-lum-a-yo
abayamamathekayo,aba-mamathek-a-yo,aba-mamathek-a-yo,aba-mamathek-a-yo
abayamomothekayo,aba-momothek-a-yo,aba-momothek-a-yo,aba-momothek-a-yo
abayanayo,aba-n-a-yo,aba-n-a-yo,aba-n-a-yo
abayandizayo,aba-ndiz-a-yo,aba-ndiz-a-yo,aba-ndiz-a-yo
abayanikelayo,aba-nikel-a-yo,aba-nikel-a-yo,aba-nikel-a-yo
abayantshontshayo,aba-ntshontsh-a-yo,aba-ntshontsh-a-yo,aba-ntshontsh-a-yo
abayanyundelayo,aba-nyundel-a-yo,aba-nyundel-a-yo,aba-nyundel-a-yo
abayaphambukayo,aba-phambuk-a-yo,aba-phambuk-a-yo,aba-phambuk-a-yo
abayaphendukayo,aba-phenduk-a-yo,aba-phenduk-a-yo-jobe,aba-phenduk-a-yo
abayaphikayo,aba-phik-a-yo,aba-phik-a-yo,aba-phik-a-yo
abayaphikelelayo,aba-phikelel-a-yo,aba-phikelel-a-yo,aba-phikelel-a-yo
abayaphikisanayo,aba-phikisan-a-yo,aba-phikisan-a-yo,aba-phikisan-a-yo
abayaphikisayo,aba-phikis-a-yo,aba-phikis-a-yo,aba-phikis-a-yo
abayaphilayo,aba-phil-a-yo,aba-phil-a-yo,aba-phil-a-yo
abayaphindelelayo,aba-phindelel-a-yo,aba-phindelel-a-yo,aba-phindelel-a-yo
abayaphumelelayo,aba-phumelel-a-yo,aba-phumelel-a-yo,aba-phumelel-a-yo
abayaphunyulayo,aba-phunyul-a-yo,aba-phunyul-a-yo,aba-phunyul-a-yo
abayaqalayo,aba-qala-yo,aba-qala-yo,aba-qala-yo
abayaqaphelayo,aba-qaphel-a-yo,aba-qaphel-a-yo,aba-qaphel-a-yo
abayaqhoshayo,aba-qhosh-a-yo,aba-qhosh-a-yo,aba-qhosh-a-yo
abayaqinisekayo,aba-qinisek-a-yo,aba-qinisek-a-yo,aba-qinisek-a-yo
abayaqwashayo,aba-qwash-a-yo,aba-qwash-a-yo,aba-qwash-a-yo
abayasabelayo,aba-sabel-a-yo,aba-sabel-a-yo,aba-sabel-a-yo
abayasebenzayo,aba-sebenz-a-yo,aba-sebenz-a-yo,aba-sebenz-a-yo
abayashadayo,aba-shad-a-yo,aba-shad-a-yo,aba-shad-a-yo
abayashaywayo,aba-shayw-a-yo,aba-shayw-a-yo,aba-shayw-a-yo
abayashisekayo,aba-shisek-a-yo,aba-shisek-a-yo,aba-shisek-a-yo
abayashushiswayo,aba-shushisw-a-yo,aba-shushisw-a-yo,aba-shushisw-a-yo
abayasindiswayo,aba-sindisw-a-yo,aba-sindisw-a-yo,aba-sindisw-a-yo
abayasiphuzayo,aba-siphuz-a-yo,aba-siphuz-a-yo,aba-siphuz-a-yo
abayasokayo,aba-sok-a-yo,aba-sok-a-yo,aba-sok-a-yo
abayasolwayo,aba-solw-a-yo,aba-solw-a-yo,aba-solw-a-yo
abayasondelayo,aba-sondel-a-yo,aba-sondel-a-yo,aba-sondel-a-yo
abayasontayo,aba-sont-a-yo,aba-sont-a-yo,aba-sont-a-yo
abayathakazelayo,aba-thakazel-a-yo,aba-thakazel-a-yo,aba-thakazel-a-yo
abayathandayo,aba-thand-a-yo,aba-thand-a-yo,aba-thand-a-yo
abayathandekayo,aba-thandek-a-yo,aba-thandek-a-yo,aba-thandek-a-yo
abayathembekayo,aba-thembek-a-yo,aba-thembek-a-yo,aba-thembek-a-yo
abayathembisayo,aba-thembis-a-yo,aba-thembis-a-yo,aba-thembis-a-yo
abayathengisayo,aba-thengis-a-yo,aba-thengis-a-yo,aba-thengis-a-yo
abayathethelelayo,aba-thethelel-a-yo,aba-thethelel-a-yo,aba-thethelel-a-yo
abayatholayo,aba-thol-a-yo,aba-thol-a-yo,aba-thol-a-yo
abayavilaphayo,aba-vilaph-a-yo,aba-vilaph-a-yo,aba-vilaph-a-yo
abayavivinywayo,aba-vivinyw-a-yo,aba-vivinyw-a-yo,aba-vivinyw-a-yo
abayavukelayo,aba-vukel-a-yo,aba-vukel-a-yo,aba-vukel-a-yo
abayaxhaphazayo,aba-xhaphaz-a-yo,aba-xhaphaz-a-yo,aba-xhaphaz-a-yo
abayayekelelayo,aba-yekelel-a-yo,aba-yekelel-a-yo,aba-yekelel-a-yo
abayazazisayo,aba-zazis-a-yo,aba-zazis-a-yo,aba-zazis-a-yo
abayazuzayo,aba-zuz-a-yo,aba-zuz-a-yo,aba-zuz-a-yo
abayenzayo,ab-a-enz-a-yo,ab-a-enz-a-yo,ab-a-enz-a-yo
abayeyashwamayo,a-ba-y-e-shwam-a-yo,a-ba-y-e-shwam-a-yo,abay-e-shwam-a-yo
abelethayo,a-beleth-a-yo,a-beleth-a-yo,abeleth-a-yol-ehl-e
abenze,ab-enz-e,ab-enz-e-baba,ab-enz-e
abhekisisayo,a-bhekisis-a-yo,a-bhekisis-a-yo,abhekisis-a-yon-om-a
abhubhuzela,a-bhubhuzel-a,a-bhubhuzel-a,uboya
abhula,a-bhul-a,a-bhul-a,nge-zinkanyezi
aboni,a-b-on-i,a-b-on-i-mpendulo,ab-on-i
abulawa,a-bulaw-a,a-bulaw-a,nga-bo
abyakhayo,ab-akh-a-yo,ab-akh-a-yo,ab-akh-a-yo
abyaziwayo,ab-aziw-a-yo,ab-aziw-a-yo,ab-aziw-a-yo
abyebayo,ab-eb-a-yo,ab-eb-a-yo,ab-eb-a-yo
abyehlayo,ab-ehl-a-yo,ab-ehl-a-yo,ab-ehl-a-yo
abyelaphayo,ab-elaph-a-yo,ab-elaph-a-yo,ab-elaph-a-yo
abyeqayo,ab-eq-a-yo,ab-eq-a-yo,ab-eq-a-yo
abyozelayo,ab-ozel-a-yo,ab-ozel-a-yo,ab-ozel-a-yo
acindezelayo,a-cindezel-a-yo,a-cindezel-a-yo,acindezel-a-yoa-setshenzisw-a
acindezelekile,a-cindezelek-ile,a-cindezelek-ile,acindezelek-ilen-om-a
adala,a-dal-a,a-dal-a,izifo
adla,a-dl-a,a-dl-a,izithelo
adlala,a-dlal-a,a-dlal-a,indima
adle,a-dl-e,a-dl-e,a-dl-en-om-a
afaka,a-fak-a,a-fak-a,umoya
afohla,a-fohl-a,a-fohl-a,emzini
afuna,a-fun-a,a-fun-a,ubuso
agezwa,a-gezw-a,a-gezw-a,a-gezw-aa-hlanzek-aa-ngcwelisw-akw-athiw-a
agundwe,a-gundw-e,a-gundw-e,agundw-en-om-a
ahambela,a-hambel-a,a-hambel-a,izindawo
ahlala,a-hlal-a,a-hlal-a,ahlal-e
ahlale,a-hlal-e,a-hlal-e,a-shaqis-e
ahlambulule,a-hlambulul-e,a-hlambulul-e-ngamanzi,ahlambulul-e
ahlanzeka,a-hlanzek-a,a-hlanzek-a,a-lung-ile
ahlawula,a-hlawul-a,a-hlawul-a,a-hlawul-an-om-a
ahlekise,a-hlekis-e,a-hlekis-e,ema-hlayeni
ahlumelelisa,a-hlumelelis-a,a-hlumelelis-a,izimilo
ahlupha,a-hluph-a,a-hluph-a,a-hluph-aa-bulal-a
aholwa,a-holw-a,a-holw-a,ochwepheshe
ajulileyo,a-jul-ile-yo,a-jul-ile-yo,ajul-ile-yo-k-eph-a
akabi,a-ka-b-i,a-ka-b-i,na-so
akagudli,a-ka-gudl-i,a-ka-gudl-i-guma,aka-gudl-i
akamvumelanga,a-ka-m-vumel-anga,a-ka-m-vumel-anga,aka-m-vumel-angak-eph-a
akaphindanga,a-ka-phind-anga,a-ka-phind-anga-washo,aka-phind-anga
akathandanga,a-ka-thand-anga,a-ka-thand-anga,uku-li-phuz-a
akathathi,a-ka-thath-i,a-ka-thath-i-hlangothi,aka-thath-i
akhiwa,akhiw-a,akhiw-a,abantu
akhombisa,a-khombis-a,a-khombis-a,izimpawu
akhuleke,a-khulek-e,a-khulek-e,a-khulek-ek-eph-a
akubi,a-ku-b-i,a-ku-b-i-lula,aku-b-i
akunamandla,a-ku-na-m-andla,a-ku-na-m-andla,akuna-mandlak-eph-a
akunikezi,a-ku-nikez-i,a-ku-nikez-i-themba,aku-nikez-i
akuniki,a-ku-nik-i,a-ku-nik-i-themba,aku-nik-i
akuphumeli,a-ku-phumel-i,a-ku-phumel-i-bani,aku-phumel-i
akuphuthi,a-ku-phuth-i,a-ku-phuth-i,aku-phuth-ik-eph-a
akuqinisekise,a-ku-qinisekis-e,a-ku-qinisekis-e,nge-nkomba
akuthi,a-ku-th-i,a-ku-th-i-nxa,aku-th-i
akuzo,a-ku-zo,a-ku-zo-zonke,aku-zo
akuzoba,a-ku-zob-a,a-ku-zob-a-lula,a-ku-zob-a
alalela,a-lalel-a,a-lalel-a,unkulunkulu
alidle,a-li-dl-e,a-li-dl-e,ali-dl-en-om-a
alifikanga,a-li-fik-anga,ndawo,ali-fik-anga
aliphuze,a-li-phuz-e,a-li-phuz-e,ngo-ku-qond-ile
alisebenzanga,a-li-sebenz-anga,ka-hle,ali-sebenz-anga
alolu,a-lolu,a-lolu-hlobo,a-lolu
aluleka,a-lulek-a,a-lulek-a,a-lulek-aa-m-a
alungisise,a-lungisis-e,a-lungisis-e-kumbe,alungisis-e
aluve,a-lu-v-e,lu-y-indlala,alu-v-e
amaafrika,a-ma-afrika,ama-afrika,amaafrika
amabika,a-ma-bika,ama-bika,amabikan-om-a
amafuthayelaphayo,a-ma-futha-elaph-a-yo,ama-futha-elaph-a-yo,amafutha-elaph-a-yo
amageja,a-ma-geja,ama-geja,amagejan-om-a
amakhuba,a-ma-khuba,ama-khuba,amakhubaa-babuk-a
amalulwane,a-ma-lulwane,a-ma-lulwane,a-malulwanea-dl-a
amalunga,a-ma-lunga,ama-lunga,amalunga-k-eph-a
amananiyandayo,a-ma-nani-and-a-yo,ama-nani-and-a-yo,amanani-and-a-yo
amanikiniki,a-ma-nikiniki,ama-nikiniki,ongena-khaya
amaphesentiyandayo,a-ma-phesenti-and-a-yo,ama-phesenti-and-a-yo,amaphesenti-and-a-yo
amashadi,a-ma-shadi,ama-shadi,o-ku-siz-a
amasheshi,a-ma-sheshi,a-ma-sheshi,a-masheshia-ba-y-a
amasikoyonakalisayo,a-ma-siko-onakalis-a-yo,ama-siko-onakalis-a-yo,amasiko-onakalis-a-yo
amathonyayonakalisayo,a-ma-thonya-onakalis-a-yo,ama-thonya-onakalis-a-yo,amathonya-onakalis-a-yo
amawa,a-ma-wa,a-ma-wa,a-mawaa-lengel-a
amazwiyelaphayo,a-ma-zwi-elaph-a-yo,ama-zwi-elaph-a-yo,amazwi-elaph-a-yo
ambuza,a-m-buz-a,a-m-buz-a,thina
amemeza,a-memez-a,a-memez-a,inkemba
amgodlele,a-m-godlel-e,a-m-godlel-e,am-godlel-ek-on-a
amkhuthaza,a-m-khuthaz-a,a-m-khuthaz-a,lapho
ammangalela,a-m-mangalel-a,a-m-mangalel-a,a-m-mangalel-a
ammbela,a-m-mbel-a,a-m-mbel-a,am-mbel-a
ammbele,a-m-mbel-e,a-m-mbel-e,a-m-mbel-e
ammisile,a-m-mis-ile,a-m-mis-ile,a-m-mis-ile
amphelelise,a-m-phelelis-e,a-m-phelelis-e,nge-zinhlupheko
amqabule,a-m-qabul-e,a-m-qabul-e,am-qabul-en-om-a
amuva,a-mu-v-a,a-mu-v-a,kakhulu
anabangani,a-n-ab-anga-ni,a-n-ab-anga-ni-nga,an-ab-anga-ni
angadonswa,a-nga-donsw-a,a-nga-donsw-a-hhashi,angadonsw-a
angammemi,a-nga-m-mem-i,a-nga-m-mem-i,angam-mem-i
angaphelele,a-nga-phelel-e,a-nga-phelel-e,anga-phelel-ea-ba-f-a
angavotanga,a-nga-vot-anga,a-nga-vot-anga,angavot-angaa-thathw-a
angayikhiqizi,a-nga-yi-khiqiz-i,a-nga-yi-khiqiz-i,nhlobo
angena,a-ngen-a,a-ngen-a,uqobo
angenakuphila,a-nge-na-ku-phil-a,a-nge-na-ku-phil-a,angena-ku-phil-ab-es-e
angibamba,a-ngi-bamb-a,a-ngi-bamb-a,a-ngi-shay-a
angifumani,a-ngi-fuman-i,a-ngi-fuman-i-cala,angi-fuman-i
angipholisanga,a-ngi-pholis-anga,a-ngi-pholis-anga-maseko,angi-pholis-anga
angishaya,a-ngi-shay-a,a-ngi-shay-a,nge-sikhathi
angiyi,a-ngi-y-i,a-ngi-y-i-mama,angi-y-i
angiziphakamisi,a-ngi-zi-phakamis-i,a-ngi-zi-phakamis-i-cha,angi-zi-phakamis-i
anothi,a-n-oth-i,a-n-oth-i-baba,an-oth-i
anqala,a-nqala,a-nqala,anqalaa-tholakal-a
antula,a-ntul-a,a-ntul-a,imisebenzi
anxusa,a-nxus-a,a-nxus-a,uku-b-a
aphenye,a-pheny-e,a-pheny-e,nge-mibuzo
aphindisele,a-phindisel-e,a-phindisel-e,aphindisel-en-om-a
aphuze,a-phuz-e,a-phuz-e,izenzo
aqamba,a-qamb-a,a-qamb-a,umuntu
aqeda,a-qed-a,a-qed-a,isihlungu
aqhubeka,a-qhubek-a,a-qhubek-a,e-zungez-a
aqinisa,a-qinis-a,a-qinis-a,isimiso
aqondisa,a-qondis-a,a-qondis-a,izinceku
aqotho,a-qotho,a-qotho,aqothon-akh-a-yo
asayina,a-sayin-a,a-sayin-a,isimemezelo
asetshenziselwa,a-setshenziselw-a,a-setshenziselw-a,izinjongo
ashaqise,a-shaqis-e,a-shaqis-e,umhlaba
ashaywa,a-shayw-a,a-shayw-a,a-hlukunyezw-a
asibanga,a-si-b-anga,a-si-b-anga-sihle,asi-b-anga
asibathandi,a-si-ba-thand-i,a-si-ba-thand-i-lathi,asi-ba-thand-i
asidikibalise,a-si-dikibalis-e,a-si-dikibalis-e,asi-dikibalis-en-om-a
asikisele,a-sikisel-e,a-sikisel-e,asikisel-en-om-a
